Day,Visitor,Home
1,Carolina Hurricanes,Minnesota Wild 
1,Montreal Canadiens,Toronto Maple Leafs 
1,Philadelphia Flyers,Pittsburgh Penguins 
1,Chicago Blackhawks,Colorado Avalanche 
1,Calgary Flames,Edmonton Oilers 
2,Minnesota Wild,Carolina Hurricanes 
2,Columbus Blue Jackets,San Jose Sharks 
2,Dallas Stars,New Jersey Devils 
2,Anaheim Ducks,Detroit Red Wings 
2,Washington Capitals,Atlanta Thrashers 
2,Buffalo Sabres,Ottawa Senators 
3,Phoenix Coyotes,Boston Bruins 
3,San Jose Sharks,Columbus Blue Jackets 
3,New Jersey Devils,Washington Capitals 
3,Montreal Canadiens,Pittsburgh Penguins 
3,Ottawa Senators,Toronto Maple Leafs 
3,Dallas Stars,New York Islanders 
3,New York Rangers,Buffalo Sabres 
3,Atlanta Thrashers,Tampa Bay Lightning 
3,Anaheim Ducks,Nashville Predators 
3,Philadelphia Flyers,St.Louis Blues 
3,Detroit Red Wings,Chicago Blackhawks 
3,Los Angeles Kings,Vancouver Canucks 
4,Boston Bruins,Phoenix Coyotes 
4,Los Angeles Kings,Calgary Flames 
4,Florida Panthers,Edmonton Oilers 
5,New York Rangers,New York Islanders 
5,Pittsburgh Penguins,New Jersey Devils 
5,Anaheim Ducks,St.Louis Blues 
5,Ottawa Senators,Washington Capitals 
5,Colorado Avalanche,Philadelphia Flyers 
5,Chicago Blackhawks,Buffalo Sabres 
5,Florida Panthers,Vancouver Canucks 
6,Colorado Avalanche,Detroit Red Wings 
6,Atlanta Thrashers,Los Angeles Kings 
7,New York Islanders,Washington Capitals 
7,New Jersey Devils,Buffalo Sabres 
7,Toronto Maple Leafs,Pittsburgh Penguins 
7,Tampa Bay Lightning,Montreal Canadiens 
7,Nashville Predators,Chicago Blackhawks 
7,Vancouver Canucks,Anaheim Ducks 
8,Tampa Bay Lightning,Philadelphia Flyers 
8,Carolina Hurricanes,Ottawa Senators 
8,St.Louis Blues,Nashville Predators 
8,Edmonton Oilers,Minnesota Wild 
8,Detroit Red Wings,Dallas Stars 
8,Florida Panthers,Calgary Flames 
9,Toronto Maple Leafs,New York Rangers 
9,New York Islanders,Pittsburgh Penguins 
9,Colorado Avalanche,New Jersey Devils 
9,Chicago Blackhawks,Columbus Blue Jackets 
9,Montreal Canadiens,Buffalo Sabres 
9,Atlanta Thrashers,Anaheim Ducks 
9,Vancouver Canucks,Los Angeles Kings 
10,Ottawa Senators,Montreal Canadiens 
10,Tampa Bay Lightning,Florida Panthers 
10,Pittsburgh Penguins,Philadelphia Flyers 
10,Boston Bruins,New Jersey Devils 
10,Colorado Avalanche,New York Islanders 
10,Washington Capitals,Nashville Predators 
10,Columbus Blue Jackets,Minnesota Wild 
10,St.Louis Blues,Dallas Stars 
10,Buffalo Sabres,Chicago Blackhawks 
10,Detroit Red Wings,Phoenix Coyotes 
10,Edmonton Oilers,Calgary Flames 
10,Atlanta Thrashers,San Jose Sharks 
11,Phoenix Coyotes,Anaheim Ducks 
11,Carolina Hurricanes,Vancouver Canucks 
12,Ottawa Senators,Pittsburgh Penguins 
12,Colorado Avalanche,New York Rangers 
12,New York Islanders,Toronto Maple Leafs 
12,Dallas Stars,Tampa Bay Lightning 
12,St.Louis Blues,Chicago Blackhawks 
13,Boston Bruins,Washington Capitals 
13,Calgary Flames,Nashville Predators 
13,Vancouver Canucks,Minnesota Wild 
13,Carolina Hurricanes,San Jose Sharks 
14,Anaheim Ducks,Columbus Blue Jackets 
14,Buffalo Sabres,Atlanta Thrashers 
14,Vancouver Canucks,Chicago Blackhawks 
14,Carolina Hurricanes,Los Angeles Kings 
15,New York Rangers,Toronto Maple Leafs 
15,Washington Capitals,Boston Bruins 
15,Anaheim Ducks,Philadelphia Flyers 
15,Calgary Flames,Detroit Red Wings 
15,New Jersey Devils,Montreal Canadiens 
15,New York Islanders,Tampa Bay Lightning 
15,Dallas Stars,Florida Panthers 
15,Pittsburgh Penguins,Nashville Predators 
15,San Jose Sharks,Colorado Avalanche 
15,Minnesota Wild,Edmonton Oilers 
15,Los Angeles Kings,Phoenix Coyotes 
16,Calgary Flames,Columbus Blue Jackets 
16,Tampa Bay Lightning,Atlanta Thrashers 
16,Ottawa Senators,Buffalo Sabres 
16,Chicago Blackhawks,St.Louis Blues 
16,Minnesota Wild,Vancouver Canucks 
17,Toronto Maple Leafs,Philadelphia Flyers 
17,Buffalo Sabres,New Jersey Devils 
17,Atlanta Thrashers,Washington Capitals 
17,New York Rangers,Boston Bruins 
17,New York Islanders,Florida Panthers 
17,Montreal Canadiens,Ottawa Senators 
17,Anaheim Ducks,Detroit Red Wings 
17,Nashville Predators,Dallas Stars 
17,Pittsburgh Penguins,St.Louis Blues 
17,Columbus Blue Jackets,Chicago Blackhawks 
17,Los Angeles Kings,Colorado Avalanche 
17,Carolina Hurricanes,Phoenix Coyotes 
17,San Jose Sharks,Edmonton Oilers 
18,Nashville Predators,Tampa Bay Lightning 
18,New Jersey Devils,New York Rangers 
18,San Jose Sharks,Calgary Flames 
19,Philadelphia Flyers,Columbus Blue Jackets 
19,Phoenix Coyotes,Montreal Canadiens 
19,Los Angeles Kings,Minnesota Wild 
20,Florida Panthers,Toronto Maple Leafs 
20,Buffalo Sabres,Philadelphia Flyers 
20,Phoenix Coyotes,Ottawa Senators 
20,Edmonton Oilers,Calgary Flames 
20,Anaheim Ducks,Dallas Stars 
20,Colorado Avalanche,Vancouver Canucks 
21,Atlanta Thrashers,New York Rangers 
21,Washington Capitals,Carolina Hurricanes 
21,New York Islanders,Montreal Canadiens 
21,Pittsburgh Penguins,Tampa Bay Lightning 
21,Los Angeles Kings,Chicago Blackhawks 
21,New Jersey Devils,San Jose Sharks 
22,Toronto Maple Leafs,Boston Bruins 
22,Phoenix Coyotes,Detroit Red Wings 
22,Edmonton Oilers,Columbus Blue Jackets 
22,Florida Panthers,Ottawa Senators 
22,St.Louis Blues,Nashville Predators 
22,Washington Capitals,Minnesota Wild 
22,Los Angeles Kings,Dallas Stars 
22,Colorado Avalanche,Calgary Flames 
23,Carolina Hurricanes,New York Rangers 
23,Philadelphia Flyers,Pittsburgh Penguins 
23,Montreal Canadiens,New York Islanders 
23,Buffalo Sabres,Atlanta Thrashers 
23,Edmonton Oilers,Chicago Blackhawks 
23,New Jersey Devils,Anaheim Ducks 
24,Boston Bruins,Ottawa Senators 
24,Nashville Predators,Detroit Red Wings 
24,New York Rangers,Toronto Maple Leafs 
24,Florida Panthers,Montreal Canadiens 
24,Pittsburgh Penguins,Carolina Hurricanes 
24,New York Islanders,Philadelphia Flyers 
24,Buffalo Sabres,Dallas Stars 
24,Atlanta Thrashers,St.Louis Blues 
24,Chicago Blackhawks,Minnesota Wild 
24,Tampa Bay Lightning,Phoenix Coyotes 
24,Columbus Blue Jackets,Colorado Avalanche 
24,Washington Capitals,Calgary Flames 
24,New Jersey Devils,Los Angeles Kings 
24,Anaheim Ducks,San Jose Sharks 
26,Chicago Blackhawks,New York Rangers 
26,Carolina Hurricanes,Philadelphia Flyers 
26,New Jersey Devils,Vancouver Canucks 
27,Montreal Canadiens,Columbus Blue Jackets 
27,Ottawa Senators,Toronto Maple Leafs 
27,San Jose Sharks,Minnesota Wild 
27,Vancouver Canucks,Edmonton Oilers 
28,Boston Bruins,Buffalo Sabres 
28,New York Islanders,Carolina Hurricanes 
28,Toronto Maple Leafs,Washington Capitals 
28,Atlanta Thrashers,Florida Panthers 
28,Pittsburgh Penguins,Dallas Stars 
28,New Jersey Devils,Chicago Blackhawks 
28,Detroit Red Wings,Calgary Flames 
28,Tampa Bay Lightning,Anaheim Ducks 
28,Nashville Predators,Phoenix Coyotes 
29,Columbus Blue Jackets,Atlanta Thrashers 
29,New York Rangers,Philadelphia Flyers 
29,New York Islanders,Ottawa Senators 
29,San Jose Sharks,St.Louis Blues 
29,Vancouver Canucks,Colorado Avalanche 
29,Tampa Bay Lightning,Los Angeles Kings 
30,New York Rangers,New Jersey Devils 
30,Boston Bruins,Washington Capitals 
30,Carolina Hurricanes,Florida Panthers 
30,Montreal Canadiens,Buffalo Sabres 
30,Calgary Flames,Minnesota Wild 
30,Phoenix Coyotes,Dallas Stars 
30,Detroit Red Wings,Edmonton Oilers 
30,Pittsburgh Penguins,Anaheim Ducks 
31,Nashville Predators,Los Angeles Kings 
31,Philadelphia Flyers,New York Islanders 
31,Ottawa Senators,Montreal Canadiens 
31,St.Louis Blues,Boston Bruins 
31,Chicago Blackhawks,Atlanta Thrashers 
31,Minnesota Wild,Columbus Blue Jackets 
31,Florida Panthers,Carolina Hurricanes 
31,Buffalo Sabres,Toronto Maple Leafs 
31,Pittsburgh Penguins,Phoenix Coyotes 
31,Dallas Stars,Colorado Avalanche 
31,Detroit Red Wings,Vancouver Canucks 
31,Tampa Bay Lightning,San Jose Sharks 
32,Philadelphia Flyers,Washington Capitals 
32,St.Louis Blues,New York Rangers 
32,Edmonton Oilers,Chicago Blackhawks 
32,Nashville Predators,Anaheim Ducks 
33,Phoenix Coyotes,Detroit Red Wings 
34,Edmonton Oilers,Carolina Hurricanes 
34,Atlanta Thrashers,Ottawa Senators 
34,Washington Capitals,New York Rangers 
34,Vancouver Canucks,Montreal Canadiens 
34,Toronto Maple Leafs,Tampa Bay Lightning 
34,Calgary Flames,Colorado Avalanche 
34,Anaheim Ducks,San Jose Sharks 
35,St.Louis Blues,Columbus Blue Jackets 
35,Buffalo Sabres,New Jersey Devils 
35,Boston Bruins,Pittsburgh Penguins 
35,Toronto Maple Leafs,Florida Panthers 
35,Phoenix Coyotes,Chicago Blackhawks 
35,New York Islanders,Anaheim Ducks 
36,Edmonton Oilers,Detroit Red Wings 
36,Tampa Bay Lightning,Washington Capitals 
36,Montreal Canadiens,Boston Bruins 
36,Philadelphia Flyers,Carolina Hurricanes 
36,Minnesota Wild,Atlanta Thrashers 
36,Buffalo Sabres,New York Rangers 
36,Vancouver Canucks,Ottawa Senators 
36,Nashville Predators,St.Louis Blues 
36,New York Islanders,San Jose Sharks 
36,Dallas Stars,Los Angeles Kings 
37,Colorado Avalanche,Columbus Blue Jackets 
37,Edmonton Oilers,New Jersey Devils 
37,Tampa Bay Lightning,Pittsburgh Penguins 
37,Minnesota Wild,Florida Panthers 
37,Calgary Flames,Phoenix Coyotes 
37,Dallas Stars,Anaheim Ducks 
38,Florida Panthers,Philadelphia Flyers 
38,Pittsburgh Penguins,Atlanta Thrashers 
38,Vancouver Canucks,Toronto Maple Leafs 
38,Carolina Hurricanes,Montreal Canadiens 
38,Colorado Avalanche,Detroit Red Wings 
38,Washington Capitals,Buffalo Sabres 
38,Ottawa Senators,Boston Bruins 
38,Chicago Blackhawks,Nashville Predators 
38,St.Louis Blues,Phoenix Coyotes 
38,Calgary Flames,San Jose Sharks 
38,New York Islanders,Los Angeles Kings 
39,Edmonton Oilers,New York Rangers 
39,Atlanta Thrashers,Washington Capitals 
39,Minnesota Wild,Tampa Bay Lightning 
39,Anaheim Ducks,Chicago Blackhawks 
40,Ottawa Senators,Philadelphia Flyers 
40,Vancouver Canucks,Buffalo Sabres 
40,New Jersey Devils,Boston Bruins 
40,New York Rangers,Pittsburgh Penguins 
40,St.Louis Blues,Colorado Avalanche 
40,Los Angeles Kings,San Jose Sharks 
41,Nashville Predators,Toronto Maple Leafs 
41,Philadelphia Flyers,Montreal Canadiens 
41,Anaheim Ducks,Dallas Stars 
42,Ottawa Senators,Carolina Hurricanes 
42,Vancouver Canucks,Pittsburgh Penguins 
42,Buffalo Sabres,Washington Capitals 
42,Florida Panthers,Atlanta Thrashers 
42,St.Louis Blues,Detroit Red Wings 
42,Tampa Bay Lightning,New York Islanders 
42,Boston Bruins,New York Rangers 
42,Anaheim Ducks,Minnesota Wild 
42,San Jose Sharks,Colorado Avalanche 
42,Chicago Blackhawks,Edmonton Oilers 
42,Phoenix Coyotes,Calgary Flames 
42,Columbus Blue Jackets,Los Angeles Kings 
43,Tampa Bay Lightning,Philadelphia Flyers 
43,New Jersey Devils,Toronto Maple Leafs 
43,Florida Panthers,Boston Bruins 
43,Nashville Predators,Montreal Canadiens 
43,San Jose Sharks,Dallas Stars 
44,Carolina Hurricanes,Pittsburgh Penguins 
44,Minnesota Wild,Detroit Red Wings 
44,Washington Capitals,Atlanta Thrashers 
44,Los Angeles Kings,Buffalo Sabres 
44,Ottawa Senators,St.Louis Blues 
44,Phoenix Coyotes,Edmonton Oilers 
44,New York Rangers,Colorado Avalanche 
44,Chicago Blackhawks,Calgary Flames 
44,Columbus Blue Jackets,Anaheim Ducks 
45,Tampa Bay Lightning,Buffalo Sabres 
45,Florida Panthers,New York Islanders 
45,Los Angeles Kings,Boston Bruins 
45,Nashville Predators,Carolina Hurricanes 
45,Toronto Maple Leafs,Montreal Canadiens 
45,Philadelphia Flyers,Washington Capitals 
45,New Jersey Devils,St.Louis Blues 
45,New York Rangers,Minnesota Wild 
45,Colorado Avalanche,Dallas Stars 
45,Chicago Blackhawks,Vancouver Canucks 
45,Columbus Blue Jackets,San Jose Sharks 
46,Calgary Flames,Detroit Red Wings 
46,New York Islanders,Atlanta Thrashers 
46,Edmonton Oilers,Anaheim Ducks 
46,Phoenix Coyotes,Vancouver Canucks 
47,Washington Capitals,New Jersey Devils 
47,Nashville Predators,Columbus Blue Jackets 
47,Montreal Canadiens,Philadelphia Flyers 
47,Calgary Flames,New York Rangers 
47,Dallas Stars,Toronto Maple Leafs 
47,Los Angeles Kings,Ottawa Senators 
47,Pittsburgh Penguins,Florida Panthers 
47,Boston Bruins,Tampa Bay Lightning 
48,Edmonton Oilers,Phoenix Coyotes 
49,Columbus Blue Jackets,New York Islanders 
49,Detroit Red Wings,Atlanta Thrashers 
49,Washington Capitals,Carolina Hurricanes 
49,Pittsburgh Penguins,Buffalo Sabres 
49,Los Angeles Kings,Montreal Canadiens 
49,Boston Bruins,Florida Panthers 
49,Dallas Stars,Ottawa Senators 
49,New York Rangers,Tampa Bay Lightning 
49,Calgary Flames,New Jersey Devils 
49,St.Louis Blues,Nashville Predators 
49,Philadelphia Flyers,Minnesota Wild 
49,Colorado Avalanche,Vancouver Canucks 
49,Chicago Blackhawks,San Jose Sharks 
50,Colorado Avalanche,Edmonton Oilers 
51,Carolina Hurricanes,Boston Bruins 
51,New Jersey Devils,New York Islanders 
51,Calgary Flames,Philadelphia Flyers 
51,Ottawa Senators,Pittsburgh Penguins 
51,Nashville Predators,Minnesota Wild 
51,Chicago Blackhawks,Anaheim Ducks 
51,Tampa Bay Lightning,Washington Capitals 
51,Detroit Red Wings,Columbus Blue Jackets 
51,Montreal Canadiens,Atlanta Thrashers 
51,Toronto Maple Leafs,Buffalo Sabres 
51,New York Rangers,Florida Panthers 
51,St.Louis Blues,Dallas Stars 
51,San Jose Sharks,Vancouver Canucks 
52,Calgary Flames,Pittsburgh Penguins 
52,Philadelphia Flyers,New Jersey Devils 
52,Buffalo Sabres,Montreal Canadiens 
52,Toronto Maple Leafs,Ottawa Senators 
52,Florida Panthers,Tampa Bay Lightning 
52,Dallas Stars,St.Louis Blues 
52,New York Rangers,Nashville Predators 
52,Anaheim Ducks,Phoenix Coyotes 
52,Minnesota Wild,Colorado Avalanche 
52,San Jose Sharks,Edmonton Oilers 
52,Chicago Blackhawks,Los Angeles Kings 
53,Columbus Blue Jackets,Detroit Red Wings 
53,Boston Bruins,Atlanta Thrashers 
53,Carolina Hurricanes,Washington Capitals 
54,Dallas Stars,Carolina Hurricanes 
54,Pittsburgh Penguins,New York Rangers 
54,Edmonton Oilers,Ottawa Senators 
54,Minnesota Wild,Calgary Flames 
54,Los Angeles Kings,Anaheim Ducks 
55,Tampa Bay Lightning,Toronto Maple Leafs 
55,Phoenix Coyotes,Nashville Predators 
55,St.Louis Blues,Chicago Blackhawks 
55,Atlanta Thrashers,Colorado Avalanche 
55,Detroit Red Wings,San Jose Sharks 
56,Edmonton Oilers,Montreal Canadiens 
56,Nashville Predators,Columbus Blue Jackets 
56,Boston Bruins,Philadelphia Flyers 
56,Washington Capitals,St.Louis Blues 
56,Phoenix Coyotes,Minnesota Wild 
56,Vancouver Canucks,Calgary Flames 
56,Florida Panthers,Anaheim Ducks 
57,Montreal Canadiens,New Jersey Devils 
57,New York Rangers,New York Islanders 
57,Edmonton Oilers,Toronto Maple Leafs 
57,Tampa Bay Lightning,Boston Bruins 
57,Atlanta Thrashers,Pittsburgh Penguins 
57,San Jose Sharks,Ottawa Senators 
57,Washington Capitals,Dallas Stars 
57,Florida Panthers,Los Angeles Kings 
58,New York Islanders,New York Rangers 
58,Colorado Avalanche,Carolina Hurricanes 
58,Columbus Blue Jackets,Buffalo Sabres 
58,Calgary Flames,Minnesota Wild 
58,Vancouver Canucks,Chicago Blackhawks 
58,Detroit Red Wings,Anaheim Ducks 
59,New Jersey Devils,Philadelphia Flyers 
59,San Jose Sharks,Montreal Canadiens 
59,Buffalo Sabres,Ottawa Senators 
59,Pittsburgh Penguins,Columbus Blue Jackets 
59,Boston Bruins,Toronto Maple Leafs 
59,Atlanta Thrashers,Washington Capitals 
59,Colorado Avalanche,Tampa Bay Lightning 
59,Carolina Hurricanes,Nashville Predators 
59,Florida Panthers,Phoenix Coyotes 
59,Minnesota Wild,Dallas Stars 
59,St.Louis Blues,Edmonton Oilers 
59,Detroit Red Wings,Los Angeles Kings 
60,Philadelphia Flyers,New York Islanders 
60,Ottawa Senators,New York Rangers 
60,Calgary Flames,Chicago Blackhawks 
60,Phoenix Coyotes,Anaheim Ducks 
60,St.Louis Blues,Vancouver Canucks 
61,Nashville Predators,Atlanta Thrashers 
61,New Jersey Devils,Pittsburgh Penguins 
61,Dallas Stars,Columbus Blue Jackets 
61,San Jose Sharks,Detroit Red Wings 
61,Toronto Maple Leafs,Washington Capitals 
62,Buffalo Sabres,Boston Bruins 
62,Colorado Avalanche,Florida Panthers 
62,Ottawa Senators,Montreal Canadiens 
62,Tampa Bay Lightning,Calgary Flames 
62,Anaheim Ducks,Edmonton Oilers 
63,San Jose Sharks,Philadelphia Flyers 
63,Toronto Maple Leafs,Pittsburgh Penguins 
63,Nashville Predators,Detroit Red Wings 
63,Dallas Stars,Chicago Blackhawks 
63,Anaheim Ducks,Vancouver Canucks 
64,Philadelphia Flyers,Toronto Maple Leafs 
64,Florida Panthers,Washington Capitals 
64,San Jose Sharks,Buffalo Sabres 
64,New York Islanders,Boston Bruins 
64,New York Rangers,Ottawa Senators 
