Team Number,Prospect Name,Year,Overall Pick
22,Rasmus Dahlin,2018,1
31,Andrei Svechnikov,2018,2
21,Spencer Watson,2014,101
2,Miro Heiskanen,2017,3
24,Brady Tkachuk,2018,3
28,Cody Glass,2017,4
22,Jesperi Kotkaniemi,2018,4
19,Cale Makar,2017,5
22,Filip Zadina,2018,5
13,Alexander Nylander,2016,6
9,Quinn Hughes,2018,6
13,Michael Dal Colle,2014,5
18,Hunter Drew,2018,188
25,Adam Boqvist,2018,7
2,Olli Juolevi,2016,9
30,Gabriel Vilardi,2017,6
26,Oliver Wahlstrom,2018,8
22,Barrett Hayton,2018,9
19,Evan Bouchard,2018,10
11,Owen Tippett,2017,7
7,Logan Brown,2016,11
14,Timothy Liljegren,2017,8
29,Michael McLeod,2016,12
9,Elias Pettersson,2017,9
8,Logan Stanley,2016,14
11,Lias Andersson,2017,10
27,Vitali Kravtsov,2018,11
12,Luke Kunin,2016,16
24,Michael Rasmussen,2017,11
5,Jake Bean,2016,17
1,Noah Dobson,2018,12
28,Brett Howden,2016,18
6,Casey Mittelstadt,2017,12
24,Dante Fabbro,2016,19
1,Kieffer Bellows,2016,20
1,German Rubtsov,2016,21
17,Dennis Cholowski,2016,22
1,Juuso Valimaki,2017,13
25,Julien Gauthier,2016,23
23,Tanner Richard,2012,99
2,Rasmus Kupari,2018,13
24,Adam Mascherin,2016,24
29,Joel Farabee,2018,14
24,Joe Veleno,2018,15
1,Adam Ruzicka,2017,93
1,Josh Wesley,2014,103
29,Riley Tufte,2016,26
12,Ty Dellandrea,2018,16
6,Nick Suzuki,2017,14
13,Jake Oettinger,2017,15
5,Samuel Morin,2013,14
13,Erik Brannstrom,2017,16
9,Conner Bleackley,2014,17
16,Lucas Johansen,2016,27
22,Andrew Peeke,2016,28
13,Martin Necas,2017,17
11,Evan Fitzpatrick,2016,64
23,Filip Chytil,2017,18
16,Henrik Borgstrom,2016,29
24,Croix Evingson,2017,215
14,J.C. Lipon,2013,93
10,Jerome Gauthier-Leduc,2010,97
1,Grigori Denisenko,2018,17
22,Kailer Yamamoto,2017,19
21,Pascal Laberge,2016,30
14,Tyler Biggs,2011,23
11,Urho Vaakanainen,2017,20
12,Josh Norris,2017,21
2,Max Jones,2016,31
22,Serron Noel,2018,18
12,Reilly Walsh,2017,94
8,Tyler Benson,2016,33
7,Steven Shipley,2010,100
1,Martin Kaut,2018,19
2,Ty Smith,2018,20
14,Adam Janosik,2010,101
10,Cal Foote,2017,22
25,Nicolas Beaudin,2018,21
4,Thomas Vannelli,2013,61
11,Libor Hajek,2016,34
1,Trent Frederic,2016,35
24,Jonatan Berggren,2018,22
26,Robert Thomas,2017,23
18,Jakob Stukel,2016,170
26,Kristian Vesalainen,2017,24
6,Dominik Bokk,2018,23
19,Jasper Weatherby,2018,120
5,Rasmus Asplund,2016,36
22,Cameron Morrison,2016,37
1,K'Andre Miller,2018,24
30,Klim Kostin,2017,26
31,Nick Henry,2017,95
31,Liam Foudy,2018,25
10,Ryan Poehling,2017,27
17,Morgan Frost,2017,28
30,Kale Clague,2016,38
9,Sam Steel,2016,39
6,Yegor Korshkov,2016,40
16,Carter Hart,2016,41
5,Ryan Merkley,2018,26
2,Nicolas Hague,2017,29
6,Markus Phillips,2017,96
19,Austin Levi,2010,107
9,Kole Lind,2017,30
31,Pierre-Olivier Joseph,2017,31
11,Filip Gustavsson,2016,43
5,Vitaly Abramov,2016,44
1,Jordan Kyrou,2016,45
1,Tyler Parsons,2016,46
11,Isaac Ratcliffe,2017,32
31,Henri Jokiharju,2017,33
28,Conor Timmins,2017,34
31,Shane Bowers,2017,35
2,Eetu Luostarinen,2017,36
2,Lukas Elvenes,2017,97
7,Igor Shesterkin,2014,105
5,Jason Robertson,2017,37
29,Mario Lucia,2011,45
1,Dillon Dube,2016,47
10,Isac Lundestrom,2018,27
22,Maxime Comtois,2017,38
30,Jaret Anderson-Dolan,2017,39
7,Jesper Boqvist,2017,40
19,William Bitten,2016,48
1,Dylan Samberg,2017,41
25,Nils Lundkvist,2018,28
2,Akil Thomas,2018,29
18,Jay O'Brien,2018,30
24,Luke Martin,2017,42
31,Aleksi Heponiemi,2017,43
29,Michael Downing,2013,96
6,Rasmus Sandin,2018,31
22,Jett Woo,2018,32
9,Jonah Gadjovich,2017,44
30,Dylan Gambrell,2016,50
5,Ukko-Pekka Luukkonen,2017,45
6,Ryan McLeod,2018,33
15,Jacob Olofsson,2018,34
29,Boris Katchouk,2016,51
11,Joni Ikonen,2017,46
30,Carl Grundstrom,2016,52
8,Nathan Bastian,2016,53
2,Taylor Raddysh,2016,54
19,Keaton Thompson,2013,98
28,Marcus Davidsson,2017,47
19,Jared McIsaac,2018,35
1,Wade Allison,2016,55
6,Jonathan Dahlen,2016,56
7,Artur Kayumov,2016,57
1,Alexander Volkov,2017,48
16,Eric Roy,2013,102
11,Jan Kostalek,2013,103
9,Thatcher Demko,2014,29
23,Filip Westerlund,2017,49
9,Zachary Lauzon,2017,50
15,Adam Fox,2016,58
4,Anthony Florentino,2013,105
17,Joseph Woll,2016,59
27,Janne Kuokkanen,2016,60
19,Ryan Graves,2013,106
2,Ryan Lindgren,2016,61
31,Gustav Lindstrom,2017,51
12,Michael DiPietro,2017,52
6,Bode Wilde,2018,36
6,Alexander Alexeyev,2018,37
21,Martin Reway,2013,109
8,Santeri Virtanen,2017,98
13,Josh Anderson,2016,84
2,Simon Johansson,2018,121
19,Rasmus Bengtsson,2011,56
27,Samu Perhonen,2011,57
2,Alexandre Texier,2017,53
24,Ian Mitchell,2017,54
25,Jacob Bernard-Docker,2018,38
31,Filip Johansson,2018,39
6,Mattias Samuelsson,2018,40
3,Philip Nyberg,2016,171
6,Yegor Rykov,2016,172
29,Alex Formenton,2017,55
12,Joseph Anderson,2016,62
23,Linus Soderstrom,2014,107
2,Markus Niemelainen,2016,63
8,Evgeny Svechnikov,2015,14
1,Grant Mismash,2017,56
8,James Greenway,2016,85
15,Dmitri Samorukov,2017,99
7,Jake Leschyshyn,2017,57
6,Chad Krys,2016,65
21,Daniel Audette,2014,108
27,Jesse Ylonen,2018,41
4,Ilya Samsonov,2015,16
2,John Quenneville,2014,32
31,Tyler Tucker,2018,200
27,Alexander Romanov,2018,42
14,Daniel Catenacci,2011,68
22,Scott Perunovich,2018,43
19,Anatoli Golyshev,2016,66
19,Ludwig Bystrom,2012,36
9,Daniil Tarasov,2017,58
1,Cam Dineen,2016,67
14,Eemeli Rasanen,2017,59
25,Denis Guryanov,2015,17
7,Jack Drury,2018,44
23,Matthew Hellickson,2017,216
1,Cliff Pu,2016,68
1,Luke Green,2016,69
5,Mario Ferraro,2017,60
15,Jordan Binnington,2011,72
19,Michael Paliotta,2011,73
15,Jayce Hawryluk,2014,34
18,Adam Ginning,2018,45
8,Carson Soucy,2013,164
5,Nick Merkley,2015,18
1,Mason McDonald,2014,35
4,Will Reilly,2017,217
9,William Lockwood,2016,70
27,Robin Salo,2017,61
1,Givani Smith,2016,71
10,Benoit-Olivier Groulx,2018,46
24,Roland McKeown,2014,37
11,Jack Dougherty,2014,38
2,Kasper Bjorkqvist,2016,72
6,Dmitry Sokolov,2016,86
1,Alexei Lipanov,2017,62
31,Calen Addison,2018,47
28,Sean Day,2016,73
13,Fabian Zetterlund,2017,63
27,Wouter Peeters,2016,74
31,Josh Brook,2017,64
18,Antoine Morand,2017,65
31,Morgan Geekie,2017,66
5,Kody Clark,2018,48
28,Jack Studnicka,2017,67
7,Ville Pokka,2012,42
18,Connor Hall,2016,75
21,Brandon Gormley,2010,16
2,Matt Filipe,2016,76
19,Sebastian Aho,2017,68
11,Cale Fleury,2017,69
29,Jonathan Kovacevic,2017,70
6,Ruslan Iskhakov,2018,49
7,Matthew Strome,2017,71
29,Frederic Allard,2016,77
25,Jakub Zboril,2015,20
6,Rem Pitlick,2016,78
8,Alban Eriksson,2018,50
23,Scott Kosmachuk,2012,44
21,Jonas Rondbjerg,2017,72
22,Trey Fix-Wolansky,2018,189
11,Evan Barratt,2017,100
15,Filip Hallander,2018,51
1,Zach Senyshyn,2015,21
3,Olof Lindbom,2018,52
11,Joshua Mahura,2016,79
8,Andreas Englund,2014,42
18,Nathan Noel,2016,80
19,Hudson Elynuik,2016,87
19,Louis Belpedio,2014,111
11,Noah Gregor,2016,81
8,Jack Lafontaine,2016,88
2,Linus Lindstrom,2016,82
15,Adam Brooks,2016,83
17,Brandon Gignac,2016,89
24,Nikita Popugaev,2017,73
18,Joe Wegwerth,2014,112
18,Tom Nilsson,2011,92
1,Keith Petruzzelli,2017,74
27,Andrei Altybarmakyan,2017,75
30,Jacob Moverare,2016,90
21,Jack Kopacka,2016,91
1,Max Gildon,2017,76
6,Jonny Tychonick,2018,53
6,Jake Wise,2018,54
9,Felix Girard,2013,110
22,Mason Shaw,2017,77
18,Kirill Marchenko,2018,55
17,Julius Bergman,2014,43
6,Stelio Mattheos,2017,78
20,Anthony Camara,2011,98
2,Carsen Twarynski,2016,93
11,Jordan Sambrook,2016,94
3,Matthew Cairns,2016,95
10,Olivier Archambault,2011,100
5,David Gustafsson,2018,56
26,Eric Cornel,2014,44
21,Scott Walford,2017,79
1,Ryan MacInnis,2014,45
5,Kevin Bahl,2018,57
10,Jonathan Racine,2011,103
21,Jonathan Ang,2016,96
10,Gabriel Fortier,2018,58
16,Matthew Phillips,2016,97
28,Jack McBain,2018,59
29,Linus Nassen,2016,98
23,Dominik Masin,2014,46
19,Ivan Morozov,2018,60
8,Brian Hart,2012,52
22,Radim Salda,2018,190
23,Sean Durzi,2018,61
9,Nicolas Aube-Kubel,2014,47
1,Eetu Tuulola,2016,99
4,Josiah Didier,2011,107
16,Adam Tambellini,2013,62
26,David Farrance,2017,80
15,Niklas Nordgren,2018,62
31,Lane Zablocki,2017,81
13,Ivan Lodnia,2017,82
8,MacKenzie Entwistle,2017,83
26,Connor Hurley,2013,43
12,Kasper Kotkansalo,2017,84
4,Nikolay Prokhorkin,2012,78
29,Jakub Lauko,2018,63
2,Connor Ingram,2016,101
15,Ostap Safin,2017,85
21,Cole Candella,2016,102
31,Axel Andersson,2018,64
7,Colton Point,2016,103
19,Martin Fehervary,2018,65
4,Jonas Johansson,2014,49
9,Tyler Madden,2018,66
13,Casey Fitzgerald,2016,104
3,Otto Koivula,2016,105
27,Matthew Villalta,2017,86
9,Dylan Blujus,2012,58
26,Stuart Skinner,2017,87
17,Connor Bunnaman,2016,109
12,Scott Reedy,2017,88
24,Dakota Joshua,2014,154
22,Ross Colton,2016,106
9,Joel Lowry,2011,114
7,Samuel Kurker,2012,62
20,Colin White,2015,26
2,Brett Pollock,2014,50
2,Fredrik Karlstrom,2016,107
18,Jan Jenik,2018,67
16,Cameron Crotty,2017,101
4,Nick Sorensen,2013,47
9,Troy Bourke,2012,65
16,Austen Brassard,2011,115
27,Anton Rodin,2009,37
29,Emil Molin,2011,116
27,Otto Somppi,2016,108
6,Alexander Khovanov,2018,68
27,Kirill Kabanov,2010,24
31,Zachary Gallant,2017,89
27,Marcel Noebels,2011,117
26,Eric Comrie,2013,48
19,Zach Nastasiuk,2013,49
26,Tarmo Reunanen,2016,110
9,Chase Perry,2014,113
13,Vladimir Ruzicka,0,0
29,Mackenzie MacEachern,2012,79
26,Blake McLaughlin,2018,69
8,Marco Roy,2013,50
11,Theodor Blueger,2012,71
31,Cam Hillis,2018,70
26,Maksim Zhukov,2017,90
28,Olivier Rodrigue,2018,71
19,Paul Bittner,2015,27
9,Seth Barton,2018,72
27,Sampo Ranta,2018,73
8,Nate Schnarr,2017,91
10,Matia Marcantuoni,2012,73
20,Ryan Donato,2014,54
14,Mikhail Maltsev,2016,112
11,Bulat Shafigullin,2018,74
6,Alec Regula,2018,75
30,Drake Rymsha,2017,92
19,Brandon Halverson,2014,55
2,Jarret Tyszka,2017,102
1,Mikhail Berdin,2016,113
22,Liam Kirk,2018,76
8,Garrett Noonan,2011,119
9,Kale Howarth,2017,103
29,Garrett Pilon,2016,114
20,Vaclav Karabacek,2014,56
9,Jakub Skarek,2018,77
24,Tyler Inamoto,2017,104
26,Jack Glover,2014,57
20,Aapeli Rasanen,2016,115
6,Tyler Steenbergen,2017,105
6,Allan McShane,2018,78
5,Vladimir Bobylev,2016,116
11,Jordan Stallard,2016,117
14,Joonas Lehtivuori,0,0
27,Alexei Toropchenko,2017,106
26,Mitchell Mattson,2016,118
8,Chris Calnan,2012,76
19,Alexandre Mallet,2012,77
26,Filip Berglund,2016,120
29,Maxim Shalunov,2011,122
9,Parker Foo,2017,107
4,Ivan Chekhovich,2017,108
22,Emil Bemstrom,2017,109
20,Bradley Ross,2010,33
21,David Quenneville,2016,121
17,Noel Hoefenmayer,2017,110
18,Igor Shvyrev,2017,112
20,Dillon Heatherington,2013,58
6,Philipp Kurashev,2018,79
22,Brandon Duhaime,2016,122
2,Max Zimmer,2016,123
11,Brett Murray,2016,124
22,Keegan Kanzig,2013,65
1,Brandon Hickey,2014,58
8,Joshua Jacobs,2014,59
20,Nicholas Caamano,2016,125
16,Patrick Harper,2016,126
27,Noah Rod,2014,60
14,Ryan Kujawinski,2013,66
5,Lukas Dostal,2018,80
23,Philippe Desrosiers,2013,68
16,Tyler Soy,2016,127
19,Kirill Ustimenko,2017,113
11,Ben Mirageas,2017,114
22,Linus Arnesson,2013,72
16,Chase Priskie,2016,128
27,Nick Ebert,2012,84
3,Todd Burgess,2016,129
8,Oskar Back,2018,81
6,Matej Pekar,2018,82
22,Nolan Stevens,2016,130
3,Semyon Der-Arguchintsev,2018,83
31,Kyle Olson,2017,115
6,Michael Anderson,2017,116
11,Graham McPhee,2016,131
9,Justin Kirkland,2014,61
6,Sasha Chmelevski,2017,117
11,Nicolas Mattinen,2016,132
19,Yan Pavel Laplante,2013,74
1,Linus Hogberg,2016,133
7,Linus Karlsson,2018,84
1,Noah Cates,2017,118
5,Jacob Cederholm,2016,134
6,Jack Badini,2017,119
13,Ilya Sorokin,2014,63
9,Lars Volden,2011,129
23,Peter Diliberatore,2018,191
4,Justus Annunen,2018,85
22,Denis Smirnov,2017,120
30,Jacob Larsson,2015,32
15,Mathias From,2016,135
10,Magnus Nygren,2011,133
6,Jeremy Roy,2015,33
3,Ryan Collins,2014,64
15,Slava Demin,2018,86
19,Brian Ferlin,2011,135
15,Jonathan Gruden,2018,87
3,Joel Hofer,2018,88
12,Rhett Gardner,2016,136
8,Blake Pietila,2011,138
24,Thomas Novak,2015,34
13,Garrett Meurs,2011,139
5,Oskari Laaksonen,2017,121
6,Danila Zhuravlyov,2018,122
24,Cole Fonstad,2018,89
23,Yaroslav Kosov,2011,143
14,John Persson,2011,144
12,Jakob Ragnarsson,2018,90
26,Timothy Gettinger,2016,137
6,Ty Emberson,2018,91
23,Nico Gross,2018,92
2,Jansen Harkins,2015,36
10,Alex Lepkowski,2011,149
6,Sebastian Repo,2017,122
28,Keaton Middleton,2016,138
15,Dmitry Zavgorodniy,2018,93
6,Kirill Maksimov,2017,123
2,Roman Durny,2018,94
25,Dominik Uher,2011,152
6,Pavel Koltygin,2017,124
10,Anton Zlobin,2012,91
14,Adam Gilmour,2012,92
14,Carter Verhaeghe,2013,76
13,Alexander Delnov,2012,93
1,Johnathan MacLeod,2014,67
9,Mason Geertsen,2013,77
14,Kenny Ryan,2009,58
8,Maxim Letunov,2014,68
20,Tanner Laczynski,2016,139
29,Clayton Phillips,2017,125
21,Keegan Iverson,2014,69
18,Lucas Carlsson,2016,140
31,Drake Batherson,2017,126
27,James Melindy,2012,96
2,Alex Lintuniemi,2014,71
8,Connor Chatham,2014,72
4,Michael Eyssimont,2016,141
5,Evan Cormier,2016,142
29,Igor Bobkov,2009,63
27,Austin Poganski,2014,73
19,Ludvig Rensfeldt,2010,42
6,Cayden Primeau,2017,127
8,Alfons Malmstrom,2016,143
28,Liam Gorman,2018,192
14,Ryan Mantha,2014,115
8,Daniel Altshuller,2012,102
19,Rinat Valiev,2014,74
13,Hardy Haman-Aktell,2016,144
18,Mark Friedman,2014,75
6,D'Artagnan Joly,2017,128
31,Riley Stotts,2018,95
10,Olivier Roy,2009,65
18,Christopher Paquette,2016,145
29,Gabriel Carlsson,2015,38
24,Malte Setkov,2017,129
15,Brycen Martin,2014,76
5,Alex Dostie,2016,146
22,Olle Eriksson-Ek,2017,130
11,Dylan Ferguson,2017,131
29,Tanner Kaspick,2016,147
28,Jeremy Bracco,2015,39
28,Dylan Wells,2016,148
22,Milos Roman,2018,96
17,Brandon Hagel,2016,149
27,David Bernhardt,2016,150
28,Jack Rathbone,2017,132
8,Damien Riat,2016,173
12,Elvis Merzlikins,2014,78
30,Ville Husso,2014,79
23,Kaapo Kahkonen,2014,80
2,Veini Vehvilainen,2018,97
30,Nikita Gusev,2012,109
18,Ben Thomson,2012,110
26,Austin Wong,2018,193
3,Manuel Wiederer,2016,151
11,Travis Barron,2016,152
15,Gustav Possler,2013,111
16,Felix Sandstrom,2015,40
19,Jacob Bryson,2017,133
2,Jeremy Helvig,2016,153
30,Aidan Dudas,2018,98
22,Dylan Sadowy,2014,81
6,Riley Sutter,2018,99
2,Juho Lammikko,2014,82
5,Eetu Makiniemi,2017,134
24,Cole Fraser,2017,135
5,Jordan Subban,2013,78
27,Petr Kvaca,2017,136
6,Xavier Bernard,2018,100
4,Tim Soderlund,2017,137
26,Joey LaLeggia,2012,120
5,Jordan Harris,2018,101
28,Jeremy Swayman,2017,138
31,David Noel,2017,139
11,Ty Ronning,2016,154
11,Jake Paterson,2012,122
31,Logan Hutsko,2018,102
20,Mattias Elfstrom,2016,155
22,Nathan Clurman,2016,156
23,Maksim Sushko,2017,140
28,Jonathan Walker,2016,157
15,Curtis Hall,2018,103
26,Bryce Misley,2017,141
21,Nick Moutrey,2013,80
19,Austin Wuthrich,2012,128
8,Samuel Montembeault,2015,41
7,Fredrik Olofsson,2014,117
15,Jake Ryczek,2016,158
15,Jake Walman,2014,83
14,Nikolai Chebykin,2016,159
3,Axel Jonsson-Fjallby,2016,160
3,Markus Nurmi,2016,161
27,Marcus Karlberg,2018,104
11,Luke Henman,2018,105
9,Artur Gavrus,2012,133
