Own by Team,From Team,Year,Round,ConditionalTrade
1,1,2022,1,
1,4,2020,7,
1,1,2024,1,
1,1,2022,2,
1,1,2022,3,
1,1,2021,1,
1,3,2021,2,
1,1,2023,1,
1,1,2022,4,
1,1,2022,5,
1,1,2024,2,
1,1,2022,6,
1,1,2024,3,
1,1,2022,7,
1,6,2021,2,
1,1,2024,4,
1,16,2021,3,
1,3,2021,5,
1,1,2024,5,
1,1,2024,6,
1,1,2024,7,
1,27,2021,5,
1,26,2020,3,
1,1,2021,4,
1,1,2020,4,
1,1,2020,5,
1,1,2021,5,
1,1,2020,7,
1,6,2020,3,
1,1,2021,6,
1,27,2021,3,
1,1,2021,7,
1,1,2023,2,
1,1,2023,3,
1,1,2023,4,
1,1,2023,5,
1,1,2023,6,
1,1,2023,7,
2,2,2023,1,
2,2,2024,1,
2,2,2022,1,
2,2,2022,2,
2,2,2021,1,
2,2,2022,3,
2,2,2024,2,
2,2,2024,3,
2,2,2022,4,
2,2,2021,2,
2,2,2024,4,
2,2,2020,1,
2,2,2024,5,
2,2,2022,5,
2,2,2020,2,
2,2,2024,6,
2,2,2024,7,
2,2,2023,2,
2,2,2020,4,
2,2,2020,6,
2,2,2022,6,
2,2,2021,3,
2,2,2021,4,
2,2,2021,5,
2,2,2021,6,
2,2,2021,7,
2,2,2022,7,
2,2,2020,7,
2,2,2023,3,
2,2,2023,4,
2,2,2023,5,
2,2,2023,6,
2,2,2023,7,
3,3,2024,1,
3,3,2021,1,
3,3,2024,2,
3,3,2024,3,
3,3,2024,4,
3,3,2024,5,
3,3,2024,6,
3,3,2023,1,
3,3,2023,2,
3,3,2023,3,
3,3,2023,4,
3,3,2023,5,
3,3,2023,6,
3,3,2023,7,
3,3,2024,7,
3,18,2021,5,
3,27,2021,4,
3,3,2022,2,
3,3,2021,7,
3,3,2022,3,
3,3,2022,4,
3,3,2022,5,
3,3,2022,6,
4,4,2023,1,
4,4,2023,2,
4,4,2021,1,
4,4,2023,3,
4,6,2021,6,
4,4,2023,4,
4,4,2023,5,
4,4,2023,6,
4,4,2023,7,
4,28,2020,3,
4,20,2020,7,
4,6,2021,3,
4,4,2024,1,
4,4,2024,2,
4,11,2020,4,
4,1,2020,6,
4,4,2020,1,
4,4,2021,2,
4,4,2021,3,
4,4,2021,4,
4,16,2020,4,
4,4,2021,6,
4,4,2021,7,
4,4,2020,2,
4,4,2022,1,
4,4,2022,2,
4,4,2022,3,
4,4,2022,4,
4,4,2022,5,
4,4,2022,6,
4,4,2020,3,
4,4,2022,7,
4,4,2020,4,
4,4,2020,5,
4,3,2020,1,
4,26,2020,6,
4,4,2024,3,
4,29,2020,7,
4,4,2024,4,
4,4,2024,5,
4,4,2024,6,
4,4,2024,7,
4,16,2020,5,
5,5,2022,1,
5,5,2020,4,
5,6,2022,5,
5,26,2020,5,
5,5,2024,1,
5,5,2024,2,
5,5,2024,3,
5,5,2021,1,
5,5,2020,1,
5,25,2020,1,
5,5,2024,4,
5,5,2021,2,
5,5,2022,2,
5,5,2023,1,
5,5,2022,3,
5,5,2024,5,
5,5,2023,2,
5,5,2022,4,
5,20,2020,2,
5,5,2020,2,
5,5,2021,3,
5,5,2021,4,
5,5,2024,6,
5,5,2022,5,
5,5,2023,3,
5,5,2022,6,
5,5,2022,7,
5,20,2020,6,
5,5,2024,7,
5,20,2020,5,
5,5,2023,4,
5,5,2020,5,
5,5,2021,5,
5,5,2023,5,
5,5,2023,6,
5,5,2023,7,
5,5,2020,7,
5,5,2021,6,
5,5,2021,7,
5,3,2020,6,
6,6,2022,1,
6,12,2021,6,
6,3,2020,7,
6,6,2021,1,
6,6,2024,1,
6,6,2022,2,
6,6,2020,1,
6,6,2024,2,
6,6,2022,3,
6,3,2022,1,
6,6,2024,3,
6,6,2022,4,
6,6,2024,4,
6,6,2024,5,
6,27,2021,6,
6,6,2024,6,
6,6,2022,6,
6,6,2022,7,
6,31,2021,7,
6,6,2023,1,
6,6,2024,7,
6,6,2023,2,
6,27,2022,5,
6,6,2023,3,
6,6,2023,4,
6,6,2023,5,
6,6,2023,6,
6,6,2023,7,
6,3,2021,6,
7,21,2020,3,
7,7,2022,1,
7,7,2023,1,
7,26,2021,6,
7,7,2021,1,
7,7,2023,2,
7,7,2022,2,
7,7,2022,3,
7,7,2023,3,
7,7,2020,1,
7,24,2020,4,
7,7,2022,4,
7,7,2023,4,
7,7,2021,2,
7,7,2023,5,
7,7,2021,3,
7,7,2023,6,
7,7,2021,4,
7,7,2024,1,
7,25,2020,6,
7,7,2021,5,
7,7,2023,7,
7,7,2020,3,
7,7,2020,4,
7,7,2020,5,
7,7,2020,6,
7,7,2020,7,
7,7,2022,5,
7,7,2021,6,
7,7,2021,7,
7,4,2021,5,
7,16,2020,6,
7,7,2024,2,
7,7,2024,3,
7,7,2024,4,
7,7,2024,5,
7,7,2022,6,
7,7,2024,6,
7,7,2024,7,
7,3,2022,7,
8,8,2023,1,
8,8,2020,1,
8,8,2020,2,
8,8,2023,2,
8,8,2020,3,
8,14,2020,7,
8,8,2024,1,
8,8,2021,1,
8,8,2023,3,
8,8,2024,2,
8,8,2020,4,
8,8,2024,3,
8,8,2023,4,
8,8,2023,5,
8,8,2020,5,
8,8,2020,6,
8,8,2020,7,
8,8,2021,2,
8,8,2023,6,
8,8,2023,7,
8,8,2021,3,
8,8,2021,4,
8,8,2021,5,
8,8,2021,7,
8,8,2024,4,
8,8,2022,1,
8,8,2022,2,
8,8,2022,3,
8,8,2024,5,
8,8,2022,4,
8,8,2022,5,
8,8,2024,6,
8,8,2024,7,
8,8,2022,6,
8,8,2022,7,
9,9,2024,1,
9,9,2021,1,
9,9,2024,2,
9,20,2020,1,
9,9,2024,3,
9,9,2024,4,
9,25,2020,2,
9,9,2024,5,
9,9,2021,2,
9,9,2024,6,
9,9,2023,1,
9,9,2024,7,
9,9,2021,3,
9,12,2021,7,
9,9,2023,2,
9,9,2023,3,
9,9,2020,1,
9,9,2020,2,
9,9,2021,4,
9,9,2022,1,
9,9,2023,4,
9,9,2021,5,
9,9,2022,2,
9,9,2021,6,
9,9,2021,7,
9,30,2020,5,
9,21,2020,1,
9,9,2022,3,
9,9,2022,4,
9,9,2020,3,
9,9,2020,4,
9,9,2020,5,
9,9,2020,6,
9,9,2022,5,
9,9,2022,6,
9,9,2022,7,
9,9,2023,5,
9,9,2023,6,
9,9,2023,7,
9,22,2020,6,
9,15,2020,7,
9,22,2022,6,
9,6,2020,2,
10,10,2024,1,
10,10,2024,2,
10,10,2023,1,
10,10,2022,1,
10,10,2021,1,
10,10,2021,2,
10,10,2022,2,
10,10,2022,3,
10,10,2024,3,
10,10,2022,4,
10,10,2024,4,
10,10,2023,2,
10,10,2022,5,
10,10,2023,3,
10,10,2020,1,
10,10,2024,5,
10,10,2023,4,
10,10,2020,3,
10,10,2024,6,
10,10,2020,5,
10,10,2020,6,
10,10,2021,3,
10,10,2024,7,
10,10,2020,7,
10,10,2021,5,
10,10,2021,6,
10,10,2021,7,
10,10,2022,6,
10,10,2022,7,
10,10,2023,5,
10,10,2023,6,
10,10,2023,7,
10,30,2021,5,
10,12,2020,7,
11,11,2024,1,
11,11,2024,2,
11,22,2021,4,
11,27,2020,3,
11,11,2020,1,
11,11,2023,1,
11,11,2023,2,
11,11,2024,3,
11,11,2023,3,
11,11,2023,4,
11,11,2020,2,
11,11,2023,5,
11,11,2023,6,
11,11,2024,4,
11,11,2023,7,
11,11,2024,5,
11,11,2020,5,
11,11,2020,6,
11,11,2020,7,
11,11,2021,1,
11,11,2021,2,
11,11,2024,6,
11,11,2021,4,
11,11,2021,5,
11,11,2021,6,
11,11,2021,7,
11,11,2020,3,
11,11,2022,1,
11,11,2024,7,
11,11,2022,2,
11,11,2022,3,
11,11,2022,4,
11,11,2022,5,
11,11,2022,6,
11,11,2022,7,
11,3,2020,5,
12,24,2020,6,
12,12,2022,1,
12,6,2021,7,
12,10,2020,4,
12,15,2020,6,
12,22,2020,5,
12,12,2023,1,
12,12,2024,1,
12,12,2022,2,
12,12,2022,3,
12,28,2020,5,
12,12,2022,4,
12,21,2021,7,
12,12,2023,2,
12,12,2021,1,
12,31,2020,6,
12,12,2023,3,
12,12,2021,2,
12,12,2022,5,
12,12,2020,1,
12,12,2024,2,
12,12,2023,4,
12,12,2023,5,
12,12,2021,3,
12,12,2021,4,
12,12,2020,2,
12,12,2023,6,
12,12,2021,5,
12,12,2022,6,
12,12,2020,4,
12,12,2022,7,
12,12,2024,3,
12,12,2024,4,
12,12,2023,7,
12,12,2020,5,
12,24,2020,3,
12,12,2024,5,
12,12,2024,6,
12,12,2024,7,
12,18,2020,6,
12,9,2020,7,
12,18,2020,2,
12,1,2020,2,
13,13,2021,1,
13,13,2023,1,
13,13,2021,2,
13,13,2021,3,
13,13,2021,4,
13,13,2021,5,
13,13,2021,6,
13,13,2023,2,
13,13,2020,1,
13,13,2021,7,
13,13,2023,3,
13,13,2023,4,
13,13,2020,2,
13,13,2022,1,
13,13,2023,5,
13,13,2020,3,
13,13,2023,6,
13,13,2024,1,
13,13,2024,2,
13,13,2022,2,
13,13,2023,7,
13,13,2022,3,
13,13,2022,4,
13,13,2022,5,
13,13,2022,6,
13,22,2021,5,
13,13,2024,3,
13,13,2024,4,
13,13,2024,5,
13,13,2024,6,
13,13,2024,7,
14,12,2020,3,
14,30,2020,6,
14,14,2020,2,
14,14,2023,1,
14,14,2023,2,
14,14,2023,3,
14,14,2022,1,
14,14,2024,1,
14,14,2024,2,
14,14,2024,3,
14,14,2020,1,
14,14,2024,4,
14,14,2024,5,
14,14,2023,4,
14,14,2020,3,
14,14,2022,2,
14,14,2024,6,
14,14,2020,5,
14,14,2020,6,
14,14,2022,3,
14,14,2024,7,
14,14,2023,5,
14,14,2022,4,
14,14,2023,6,
14,14,2023,7,
14,14,2022,5,
14,14,2021,1,
14,14,2021,2,
14,14,2021,3,
14,14,2021,4,
14,14,2021,5,
14,14,2022,6,
14,14,2022,7,
14,14,2021,6,
14,13,2020,5,
14,14,2021,7,
14,31,2021,6,
14,3,2020,4,
15,15,2024,1,
15,15,2022,1,
15,15,2024,2,
15,15,2024,3,
15,15,2022,2,
15,15,2021,1,
15,15,2022,3,
15,15,2021,2,
15,15,2020,1,
15,15,2022,4,
15,15,2023,1,
15,15,2021,3,
15,15,2020,2,
15,15,2020,3,
15,15,2024,4,
15,15,2021,4,
15,15,2020,4,
15,15,2022,5,
15,15,2022,6,
15,15,2021,5,
15,15,2022,7,
15,15,2023,2,
15,15,2020,5,
15,15,2023,3,
15,15,2021,6,
15,15,2024,5,
15,15,2024,6,
15,5,2020,3,
15,15,2024,7,
15,15,2023,4,
15,15,2021,7,
15,15,2023,5,
15,15,2023,6,
15,3,2020,2,
15,15,2023,7,
16,22,2021,7,
16,16,2023,1,
16,16,2021,1,
16,16,2020,1,
16,16,2022,1,
16,16,2020,2,
16,16,2024,1,
16,16,2024,2,
16,16,2022,2,
16,16,2023,2,
16,22,2020,7,
16,16,2022,3,
16,16,2021,2,
16,16,2024,3,
16,16,2021,4,
16,16,2021,5,
16,16,2024,4,
16,16,2021,6,
16,16,2021,7,
16,22,2021,6,
16,16,2022,4,
16,16,2022,5,
16,16,2022,6,
16,16,2022,7,
16,16,2023,3,
16,16,2023,4,
16,16,2023,5,
16,16,2023,6,
16,16,2023,7,
16,16,2024,5,
16,16,2024,6,
16,10,2020,2,
16,27,2020,1,
16,16,2024,7,
16,1,2020,1,
17,30,2020,4,
17,30,2020,7,
17,17,2024,1,
17,17,2024,2,
17,2,2020,3,
17,17,2024,3,
17,17,2023,1,
17,17,2021,1,
17,17,2024,4,
17,17,2024,5,
17,17,2020,1,
17,17,2022,1,
17,17,2024,6,
17,17,2020,2,
17,17,2020,3,
17,17,2023,2,
17,17,2022,2,
17,17,2024,7,
17,17,2022,3,
17,17,2020,4,
17,17,2020,5,
17,17,2021,2,
17,17,2021,3,
17,17,2021,4,
17,17,2021,5,
17,17,2020,6,
17,17,2021,6,
17,17,2021,7,
17,17,2020,7,
17,17,2023,3,
17,17,2022,4,
17,17,2022,5,
17,17,2022,6,
17,17,2022,7,
17,17,2023,4,
17,17,2023,5,
17,17,2023,6,
17,17,2023,7,
18,18,2023,1,
18,18,2021,1,
18,18,2023,2,
18,18,2022,1,
18,18,2023,3,
18,18,2023,4,
18,18,2022,2,
18,18,2024,1,
18,18,2024,2,
18,18,2024,3,
18,18,2020,1,
18,18,2022,3,
18,18,2024,4,
18,18,2024,5,
18,18,2020,3,
18,18,2020,4,
18,18,2020,5,
18,18,2024,6,
18,18,2023,5,
18,18,2020,7,
18,18,2021,2,
18,18,2021,3,
18,18,2021,4,
18,18,2023,6,
18,18,2022,4,
18,18,2021,6,
18,18,2021,7,
18,18,2022,5,
18,18,2022,6,
18,18,2022,7,
18,18,2023,7,
18,18,2024,7,
19,20,2021,4,
19,29,2020,5,
19,19,2024,1,
19,19,2022,1,
19,19,2021,1,
19,22,2022,5,
19,20,2021,3,
19,19,2024,2,
19,23,2020,3,
19,19,2024,3,
19,19,2022,2,
19,19,2023,1,
19,19,2022,3,
19,19,2022,4,
19,19,2022,5,
19,19,2022,6,
19,19,2021,2,
19,19,2023,2,
19,19,2020,1,
19,19,2021,3,
19,19,2022,7,
19,19,2020,2,
19,19,2020,3,
19,19,2023,3,
19,19,2021,4,
19,19,2021,5,
19,19,2024,4,
19,7,2020,2,
19,20,2020,3,
19,19,2023,4,
19,19,2023,5,
19,19,2020,4,
19,19,2021,6,
19,19,2020,5,
19,19,2023,6,
19,19,2021,7,
19,19,2020,6,
19,19,2024,5,
19,3,2020,3,
19,19,2020,7,
19,19,2023,7,
19,19,2024,6,
19,19,2024,7,
20,10,2021,4,
20,20,2022,1,
20,20,2021,1,
20,20,2022,2,
20,20,2021,2,
20,20,2021,7,
20,20,2023,1,
20,20,2023,2,
20,20,2023,3,
20,20,2022,3,
20,20,2021,5,
20,20,2024,1,
20,20,2023,4,
20,20,2022,4,
20,20,2022,5,
20,20,2023,5,
20,20,2023,6,
20,20,2023,7,
20,20,2022,6,
20,20,2022,7,
20,20,2024,2,
20,6,2021,5,
20,20,2024,3,
20,20,2024,4,
20,20,2024,5,
20,21,2020,7,
20,20,2024,6,
20,20,2024,7,
21,21,2021,1,
21,21,2022,1,
21,12,2020,6,
21,21,2021,2,
21,21,2020,4,
21,21,2020,5,
21,21,2021,3,
21,21,2022,2,
21,21,2020,6,
21,21,2021,4,
21,20,2020,4,
21,21,2021,5,
21,30,2021,3,
21,21,2022,3,
21,21,2022,4,
21,21,2021,6,
21,26,2022,7,
21,21,2023,1,
21,21,2022,5,
21,21,2023,2,
21,21,2023,3,
21,21,2022,6,
21,1,2020,3,
21,21,2023,4,
21,21,2023,5,
21,21,2024,1,
21,21,2023,6,
21,21,2023,7,
21,13,2020,6,
21,21,2024,2,
21,21,2024,3,
21,21,2024,4,
21,21,2024,5,
21,21,2024,6,
21,21,2024,7,
22,22,2021,1,
22,22,2022,1,
22,22,2024,1,
22,22,2022,2,
22,28,2020,7,
22,22,2020,1,
22,22,2022,3,
22,27,2022,7,
22,22,2022,4,
22,6,2020,7,
22,22,2024,2,
22,22,2024,3,
22,22,2024,4,
22,22,2022,7,
22,22,2024,5,
22,22,2023,1,
22,22,2024,6,
22,23,2020,7,
22,22,2024,7,
22,22,2023,2,
22,22,2023,3,
22,26,2020,7,
22,26,2021,7,
22,2,2020,5,
22,22,2023,4,
22,22,2023,5,
22,13,2022,7,
22,22,2023,6,
22,21,2022,7,
22,22,2023,7,
22,26,2023,7,
22,13,2020,7,
22,25,2021,7,
23,23,2023,1,
23,23,2023,2,
23,23,2022,1,
23,23,2023,3,
23,31,2020,5,
23,4,2020,6,
23,23,2023,4,
23,27,2020,5,
23,23,2023,5,
23,23,2023,6,
23,23,2023,7,
23,23,2024,1,
23,23,2024,2,
23,23,2020,1,
23,23,2024,3,
23,23,2020,2,
23,23,2024,4,
23,23,2024,5,
23,23,2020,5,
23,23,2020,6,
23,23,2021,1,
23,23,2021,2,
23,23,2024,6,
23,16,2020,7,
23,23,2021,3,
23,23,2021,4,
23,23,2021,5,
23,31,2020,7,
23,23,2021,6,
23,23,2022,2,
23,23,2021,7,
23,23,2022,3,
23,23,2024,7,
23,23,2022,4,
23,23,2022,5,
23,23,2022,6,
23,23,2022,7,
24,24,2024,1,
24,24,2023,1,
24,24,2022,1,
24,24,2022,2,
24,24,2021,1,
24,24,2023,2,
24,24,2022,3,
24,16,2020,3,
24,24,2022,4,
24,24,2024,2,
24,24,2022,5,
24,24,2022,6,
24,24,2022,7,
24,24,2023,3,
24,24,2023,4,
24,22,2020,3,
24,24,2024,3,
24,24,2023,5,
24,24,2023,6,
24,24,2020,1,
24,24,2020,2,
24,24,2021,2,
24,24,2024,4,
24,24,2021,3,
24,24,2021,4,
24,24,2021,5,
24,24,2021,6,
24,24,2021,7,
24,22,2020,2,
24,24,2024,5,
24,24,2023,7,
24,24,2024,6,
24,22,2021,3,
24,24,2020,5,
24,24,2024,7,
24,24,2020,7,
25,25,2024,1,
25,25,2024,2,
25,25,2023,1,
25,25,2022,1,
25,25,2024,3,
25,25,2022,2,
25,25,2023,2,
25,25,2024,4,
25,25,2024,5,
25,25,2023,3,
25,25,2023,4,
25,25,2023,5,
25,25,2023,6,
25,3,2021,3,
25,25,2023,7,
25,6,2020,5,
25,25,2024,6,
25,25,2020,3,
25,25,2022,3,
25,6,2020,4,
25,25,2022,4,
25,25,2022,5,
25,25,2024,7,
25,25,2020,5,
25,25,2021,1,
25,25,2022,6,
25,25,2022,7,
25,25,2021,2,
25,25,2021,3,
25,25,2021,4,
25,25,2020,7,
25,25,2021,5,
25,25,2021,6,
26,27,2020,2,
26,26,2024,1,
26,26,2024,2,
26,26,2021,1,
26,26,2024,3,
26,27,2021,1,
26,26,2024,4,
26,25,2020,4,
26,21,2020,2,
26,26,2022,1,
26,26,2020,2,
26,26,2021,2,
26,26,2021,3,
26,26,2020,4,
26,26,2021,4,
26,26,2024,5,
26,26,2021,5,
26,26,2023,1,
26,26,2024,6,
26,26,2023,2,
26,26,2024,7,
26,6,2021,4,
26,26,2023,3,
26,26,2023,4,
26,26,2023,5,
26,26,2023,6,
26,31,2020,2,
26,26,2022,2,
26,26,2022,3,
26,26,2022,4,
26,26,2022,5,
26,26,2022,6,
27,27,2023,1,
27,27,2023,2,
27,27,2023,3,
27,27,2023,4,
27,27,2023,5,
27,27,2023,6,
27,27,2024,1,
27,22,2021,2,
27,27,2023,7,
27,27,2024,2,
27,27,2024,3,
27,27,2024,4,
27,27,2024,5,
27,27,2024,6,
27,27,2024,7,
27,8,2021,6,
27,27,2020,7,
27,27,2021,2,
27,27,2021,7,
27,27,2022,1,
27,27,2022,2,
27,27,2022,3,
27,27,2022,4,
27,27,2022,6,
28,28,2024,1,
28,28,2023,1,
28,28,2023,2,
28,28,2024,2,
28,28,2024,3,
28,28,2021,1,
28,28,2021,2,
28,28,2023,3,
28,28,2023,4,
28,28,2024,4,
28,28,2024,5,
28,28,2021,3,
28,28,2024,6,
28,28,2021,4,
28,28,2020,1,
28,28,2022,1,
28,28,2022,2,
28,28,2020,2,
28,14,2020,4,
28,27,2020,4,
28,28,2023,5,
28,28,2022,3,
28,28,2022,4,
28,28,2023,6,
28,28,2023,7,
28,28,2022,5,
28,28,2021,5,
28,28,2021,6,
28,28,2022,6,
28,28,2020,4,
28,28,2024,7,
28,28,2022,7,
28,22,2020,4,
28,27,2020,6,
28,28,2021,7,
28,28,2020,6,
28,1,2021,2,
28,1,2021,3,
29,29,2024,1,
29,29,2022,1,
29,29,2024,2,
29,13,2020,4,
29,29,2024,3,
29,29,2023,1,
29,6,2020,6,
29,29,2021,1,
29,29,2020,1,
29,29,2020,2,
29,29,2023,2,
29,29,2021,2,
29,29,2020,3,
29,30,2020,3,
29,29,2024,4,
29,29,2024,5,
29,29,2021,3,
29,29,2020,6,
29,29,2023,3,
29,29,2021,4,
29,29,2024,6,
29,29,2021,5,
29,29,2022,2,
29,29,2022,3,
29,29,2022,4,
29,29,2023,4,
29,29,2022,5,
29,29,2021,6,
29,29,2021,7,
29,29,2023,5,
29,29,2022,6,
29,29,2022,7,
29,29,2023,6,
29,29,2024,7,
29,29,2023,7,
30,30,2023,1,
30,30,2022,1,
30,30,2022,2,
30,30,2021,1,
30,30,2021,2,
30,30,2024,1,
30,30,2020,1,
30,30,2020,2,
30,30,2023,2,
30,30,2023,3,
30,30,2022,3,
30,30,2023,4,
30,30,2023,5,
30,30,2023,6,
30,5,2020,6,
30,30,2021,4,
30,7,2022,7,
30,30,2024,2,
30,30,2023,7,
30,30,2024,3,
30,30,2021,6,
30,30,2024,4,
30,30,2024,5,
30,30,2021,7,
30,30,2024,6,
30,30,2024,7,
30,30,2022,4,
30,30,2022,5,
30,30,2022,6,
30,30,2022,7,
31,31,2022,1,
31,31,2021,1,
31,31,2021,2,
31,31,2021,3,
31,31,2021,4,
31,31,2021,5,
31,31,2024,1,
31,31,2022,2,
31,31,2022,3,
31,31,2022,4,
31,31,2024,2,
31,31,2022,5,
31,31,2022,6,
31,31,2022,7,
31,26,2020,1,
31,31,2023,1,
31,31,2023,2,
31,31,2023,3,
31,31,2023,4,
31,31,2024,3,
31,31,2023,5,
31,31,2024,4,
31,20,2021,6,
31,31,2024,5,
31,31,2024,6,
31,31,2024,7,
31,29,2020,4,
31,31,2020,1,
31,31,2020,3,
31,31,2020,4,
31,31,2023,6,
31,31,2023,7,
31,23,2020,4,
31,11,2021,3,
31,3,2021,4,
